,City,Country,Date,Lat,Lng,Max Temp,Clouds,Humidity,Wind Speed
0,Norman Wells,CA,1620875887,65.282,-126.8329,40.28,90,81,2.3
1,Muroto-misakicho,JP,1620875944,33.2833,134.15,71.56,100,84,10.85
2,Saskylakh,RU,1620875845,71.9167,114.0833,32.95,100,91,6.85
3,New Norfolk,AU,1620875861,-42.7826,147.0587,61.45,100,79,5.01
4,Cape Town,ZA,1620875575,-33.9258,18.4232,54.86,20,84,2.77
5,Celestún,MX,1620876075,20.8667,-90.4,84.88,86,69,14.88
6,Avarua,CK,1620875870,-21.2078,-159.775,78.69,75,78,14.97
7,Dingle,PH,1620875859,10.9995,122.6711,90.25,84,54,13.69
8,Atuona,PF,1620875855,-9.8,-139.0333,80.44,20,80,19.75
9,Mt. Pleasant,US,1620876021,32.7941,-79.8626,51.78,90,93,5.01
10,Arraial do Cabo,BR,1620875892,-22.9661,-42.0278,71.22,100,86,16.24
11,Roebourne,AU,1620876219,-20.7833,117.1333,87.08,0,29,14.25
12,Lebu,CL,1620875852,-37.6167,-73.65,53.56,100,86,10.47
13,Souillac,MU,1620875973,-20.5167,57.5167,75.83,40,82,13.06
14,Saint Paul Harbor,US,1620875861,57.79,-152.4072,43.88,90,70,11.5
15,Upernavik,GL,1620875841,72.7868,-56.1549,27.23,100,93,6.98
16,Qaanaaq,GL,1620875846,77.484,-69.3632,22.96,100,84,10.22
17,Kloulklubed,PW,1620876221,7.0419,134.2556,85.95,93,78,12.48
18,Vaini,TO,1620875843,-21.2,-175.2,76.77,40,78,10.36
19,Punta Arenas,CL,1620875582,-53.15,-70.9167,38.88,40,87,13.56
20,Arrondissement du Havre,FR,1620876221,49.5833,0.3333,46.92,90,91,12.39
21,Hermanus,ZA,1620875864,-34.4187,19.2345,54.66,5,85,4.79
22,Kushiro,JP,1620875938,42.975,144.3747,46.31,75,97,5.95
23,Ancud,CL,1620875894,-41.8697,-73.8203,50.43,100,91,3.78
24,Vila Franca do Campo,PT,1620876222,37.7167,-25.4333,62.29,70,87,4.85
25,Tereze,RU,1620876222,43.9361,42.4434,32.4,0,52,5.1
26,Hinjilikatu,IN,1620876223,19.4833,84.75,92.26,38,54,5.82
27,Ostrovnoy,RU,1620876223,68.0531,39.5131,45.77,77,81,6.51
28,Lázaro Cárdenas,MX,1620876192,17.9583,-102.2,80.6,96,78,3.22
29,Albany,US,1620875844,42.6001,-73.9662,47.62,66,77,5.19
30,Hong Kong,HK,1620875868,22.2855,114.1577,90.97,32,81,1.99
31,Busselton,AU,1620875867,-33.65,115.3333,59.95,99,56,16.49
32,East London,ZA,1620875859,-33.0153,27.9116,49.44,0,93,1.14
33,Chokurdakh,RU,1620875601,70.6333,147.9167,21.88,16,86,3.33
34,Mataura,NZ,1620875862,-46.1927,168.8643,53.38,4,52,1.66
35,Hilo,US,1620875790,19.7297,-155.09,80.22,90,70,6.91
36,Guerrero Negro,MX,1620875630,27.9769,-114.0611,60.91,0,81,13.4
37,Goderich,CA,1620876224,43.7501,-81.7165,37.85,1,87,0.0
38,Orlik,RU,1620875942,52.5178,99.825,40.75,80,41,6.11
39,Yar-Sale,RU,1620876224,66.8333,70.8333,33.48,100,84,28.95
40,Bjørnevatn,NO,1620876224,69.6672,29.9847,42.13,90,87,4.61
41,Rikitea,PF,1620875850,-23.1203,-134.9692,77.32,19,78,17.22
42,Geraldton,AU,1620875895,-28.7667,114.6,77.0,92,51,17.78
43,Bodden Town,KY,1620875948,19.2833,-81.25,82.33,20,77,9.04
44,Lavrentiya,RU,1620876225,65.5833,-171.0,33.58,100,97,1.45
45,Port Keats,AU,1620876225,-14.25,129.55,88.92,0,26,9.78
46,Araxá,BR,1620876225,-19.5933,-46.9406,52.81,0,63,2.3
47,Sur,OM,1620875956,22.5667,59.5289,89.17,39,45,4.94
48,Vestmanna,FO,1620876226,62.1564,-7.1664,37.13,75,77,16.6
49,Saint George,US,1620875706,37.1041,-113.5841,72.81,1,13,1.99
50,Grand-Lahou,CI,1620876226,5.1367,-5.0242,79.25,9,76,5.93
51,Kapaa,US,1620875842,22.0752,-159.319,82.35,75,70,5.99
